ID,Cod_Tipo_Cart_Rel,UF,Esfera,Quantidade_media_guias,Volume_medio_arrecadado,Volume_medio_tarifas,Margem_contribuicao_media,Tarifa_media
500071204,406,CE,MUNICIPAL,19824,88743.5,16580.5,1648.75,0.89
500209174,407,CE,MUNICIPAL,41,2903.0,37.5,0.0,0.89
500339336,407,RN,MUNICIPAL,479,1787.5,369.0,34.5,0.89
505443538,410,CE,MUNICIPAL,29,0.0,21.0,0.0,0.89
600613014,407,MG,MUNICIPAL,92,336.33,79.67,8.33,0.89
602815625,407,MG,MUNICIPAL,336,11075.0,299.0,0.0,0.89
800351487,406,BA,MUNICIPAL,1857,15206.0,1649.0,0.0,0.89
801004857,407,BA,MUNICIPAL,538,10468.75,575.0,0.0,0.89
906070766,406,BA,MUNICIPAL,1325,1659.6,1176.0,0.0,0.89
906071291,405,PA,MUNICIPAL,2077,56436.0,1855.0,0.0,0.89
36416558,406,SP,MUNICIPAL,13549,2009.4,13213.2,418.4,0.88
101154904,406,ES,MUNICIPAL,2574,11945.67,2256.33,131.0,0.88
104794226,405,AL,MUNICIPAL,8971,13200.0,7896.0,0.0,0.88
105196679,407,PA,MUNICIPAL,26,1300.0,23.0,0.0,0.88
105286876,406,BA,MUNICIPAL,4447,50173.33,3719.33,1507.67,0.88
204656471,406,SC,MUNICIPAL,9172,4675.8,9177.0,462.4,0.88
204659078,407,PR,MUNICIPAL,1142,30144.5,955.0,72.75,0.88
205138078,407,SC,MUNICIPAL,1965,1701.75,1566.25,215.25,0.88
303443264,405,PA,MUNICIPAL,5010,36735.0,4410.0,0.0,0.88
402343609,406,RS,MUNICIPAL,3784,26410.0,3806.5,0.0,0.88
502829952,407,RN,MUNICIPAL,148,1761.67,107.0,0.0,0.88
800386928,407,BA,MUNICIPAL,740,479900.0,609.5,0.0,0.88
800393887,407,BA,MUNICIPAL,842,62949.25,608.5,0.0,0.88
900276468,407,SP,MUNICIPAL,833,9767.6,725.6,0.0,0.88
